YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AA,115,NULL,LAX,MIA,0105,NULL,NULL,NULL,NULL,286,276,255,2342,NULL,NULL,0851,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,1450,NULL,LAS,MSP,0105,NULL,NULL,NULL,NULL,183,163,150,1299,NULL,NULL,0608,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1545,NULL,LAX,IAH,0115,NULL,NULL,NULL,NULL,183,175,156,1379,NULL,NULL,0618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,130,NULL,FAI,SEA,0115,NULL,NULL,NULL,NULL,213,218,186,1533,NULL,NULL,0548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,597,NULL,MSP,FLL,0115,NULL,NULL,NULL,NULL,207,220,166,1487,NULL,NULL,0542,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,US,413,NULL,LAS,CLT,0120,NULL,NULL,NULL,NULL,245,224,205,1916,NULL,NULL,0825,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,2392,NULL,DEN,MIA,0120,NULL,NULL,NULL,NULL,227,208,188,1709,NULL,NULL,0707,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,168,NULL,PHX,ORD,0125,NULL,NULL,NULL,NULL,204,175,156,1440,NULL,NULL,0549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,2211,NULL,PHX,MIA,0127,NULL,NULL,NULL,NULL,239,234,217,1972,NULL,NULL,0726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,136,NULL,ANC,SEA,0135,NULL,NULL,NULL,NULL,205,0,0,1448,NULL,NULL,0600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,95,NULL,SLC,ATL,0140,NULL,NULL,NULL,NULL,215,231,182,1590,NULL,NULL,0715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,298,NULL,LAS,IAH,0144,NULL,NULL,NULL,NULL,170,170,148,1222,NULL,NULL,0634,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,HA,17,NULL,LAS,HNL,0145,NULL,NULL,NULL,NULL,370,385,361,2762,NULL,NULL,0555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,US,617,NULL,ANC,PHX,0152,NULL,NULL,NULL,NULL,323,322,298,2552,NULL,NULL,0915,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1528,NULL,SJU,EWR,0154,NULL,NULL,NULL,NULL,255,241,220,1608,NULL,NULL,0509,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,134,NULL,ANC,SEA,0155,NULL,NULL,NULL,NULL,218,198,170,1448,NULL,NULL,0633,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,304,NULL,SJU,JFK,0155,NULL,NULL,NULL,NULL,235,248,231,1598,NULL,NULL,0450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,451,NULL,PBG,FLL,0155,NULL,NULL,NULL,NULL,208,191,174,1334,NULL,NULL,0523,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,972,NULL,PHX,DFW,0159,NULL,NULL,NULL,NULL,123,125,103,868,NULL,NULL,0502,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,2459,NULL,PHX,DFW,0200,NULL,NULL,NULL,NULL,120,0,0,868,NULL,NULL,0500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,144,NULL,ANC,PDX,0200,NULL,NULL,NULL,NULL,210,209,182,1542,NULL,NULL,0630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,647,NULL,IAG,FLL,0200,NULL,NULL,NULL,NULL,184,178,149,1176,NULL,NULL,0504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,1990,NULL,SJU,EWR,0206,NULL,NULL,NULL,NULL,246,264,239,1608,NULL,NULL,0512,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,US,699,NULL,PHX,CLT,0220,NULL,NULL,NULL,NULL,224,199,183,1773,NULL,NULL,0804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,114,NULL,ANC,SEA,0220,NULL,NULL,NULL,NULL,200,199,176,1448,NULL,NULL,0640,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,668,NULL,PSE,MCO,0255,NULL,NULL,NULL,NULL,185,183,169,1179,NULL,NULL,0500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1162,NULL,BQN,EWR,0259,NULL,NULL,NULL,NULL,240,247,225,1585,NULL,NULL,0559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,1030,NULL,BQN,MCO,0307,NULL,NULL,NULL,NULL,173,196,160,1129,NULL,NULL,0500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,262,NULL,SJU,BOS,0330,NULL,NULL,NULL,NULL,245,243,224,1674,NULL,NULL,0635,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,2134,NULL,SJU,MCO,0400,NULL,NULL,NULL,NULL,185,175,163,1189,NULL,NULL,0605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,730,NULL,BQN,MCO,0419,NULL,NULL,NULL,NULL,174,163,148,1129,NULL,NULL,0613,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,768,NULL,PSE,MCO,0424,NULL,NULL,NULL,NULL,186,196,166,1179,NULL,NULL,0630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,2276,NULL,SJU,BDL,0438,NULL,NULL,NULL,NULL,241,258,237,1666,NULL,NULL,0739,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,US,602,NULL,ORD,PHX,0500,NULL,NULL,NULL,NULL,228,232,214,1440,NULL,NULL,0748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,695,NULL,GEG,SEA,0500,NULL,NULL,NULL,NULL,70,74,39,224,NULL,NULL,0610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,HA,102,NULL,HNL,ITO,0500,NULL,NULL,NULL,NULL,49,51,35,216,NULL,NULL,0549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,5467,NULL,ONT,SFO,0500,NULL,NULL,NULL,NULL,89,85,61,363,NULL,NULL,0629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,HA,108,NULL,HNL,KOA,0502,NULL,NULL,NULL,NULL,42,48,30,163,NULL,NULL,0544,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,730,NULL,ANC,SEA,0505,NULL,NULL,NULL,NULL,205,199,179,1448,NULL,NULL,0930,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,HA,206,NULL,HNL,OGG,0505,NULL,NULL,NULL,NULL,36,36,20,100,NULL,NULL,0541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1500,NULL,ORD,IAH,0510,NULL,NULL,NULL,NULL,175,182,147,925,NULL,NULL,0805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,1323,NULL,MCO,MIA,0510,NULL,NULL,NULL,NULL,63,55,38,192,NULL,NULL,0613,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,103,NULL,BOS,MYR,0510,NULL,NULL,NULL,NULL,140,134,112,738,NULL,NULL,0730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,7404,NULL,HIB,MSP,0510,NULL,NULL,NULL,NULL,68,78,35,174,NULL,NULL,0618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,7419,NULL,ABR,MSP,0510,NULL,NULL,NULL,NULL,69,67,41,257,NULL,NULL,0619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,5254,NULL,MAF,IAH,0510,NULL,NULL,NULL,NULL,87,0,0,429,NULL,NULL,0637,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,US,480,NULL,SEA,PHX,0515,NULL,NULL,NULL,NULL,165,168,146,1107,NULL,NULL,0900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,1057,NULL,DFW,MIA,0515,NULL,NULL,NULL,NULL,161,155,133,1121,NULL,NULL,0856,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,2454,NULL,BOS,MIA,0515,NULL,NULL,NULL,NULL,208,215,182,1258,NULL,NULL,0843,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,4354,NULL,MKE,IAH,0515,NULL,NULL,NULL,NULL,178,189,163,984,NULL,NULL,0813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,US,425,NULL,PDX,PHX,0520,NULL,NULL,NULL,NULL,150,150,132,1009,NULL,NULL,0850,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,89,NULL,IAH,MIA,0520,NULL,NULL,NULL,NULL,141,137,111,964,NULL,NULL,0841,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,2099,NULL,BNA,DTW,0520,NULL,NULL,NULL,NULL,103,106,66,456,NULL,NULL,0803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,4685,NULL,BRO,IAH,0520,NULL,NULL,NULL,NULL,74,72,49,308,NULL,NULL,0634,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,5583,NULL,VPS,ATL,0520,NULL,NULL,NULL,NULL,66,57,42,250,NULL,NULL,0726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,5484,NULL,BOI,SFO,0520,NULL,NULL,NULL,NULL,112,110,79,522,NULL,NULL,0612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,7370,NULL,BJI,MSP,0520,NULL,NULL,NULL,NULL,60,72,34,199,NULL,NULL,0620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,HA,103,NULL,HNL,LIH,0523,NULL,NULL,NULL,NULL,37,35,21,102,NULL,NULL,0600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,5187,NULL,BNA,ATL,0525,NULL,NULL,NULL,NULL,65,70,35,214,NULL,NULL,0730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,MQ,2859,NULL,SGF,DFW,0525,NULL,NULL,NULL,NULL,95,0,0,364,NULL,NULL,0700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1201,NULL,PHL,IAH,0530,NULL,NULL,NULL,NULL,230,234,210,1325,NULL,NULL,0820,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1221,NULL,PDX,DEN,0530,NULL,NULL,NULL,NULL,142,142,125,991,NULL,NULL,0852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1607,NULL,SEA,DEN,0530,NULL,NULL,NULL,NULL,157,157,138,1024,NULL,NULL,0907,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,328,NULL,DEN,DFW,0530,NULL,NULL,NULL,NULL,125,138,96,641,NULL,NULL,0835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,5764,NULL,SBN,ORD,0530,NULL,NULL,NULL,NULL,55,44,22,84,NULL,NULL,0525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,F9,1279,NULL,PHL,MCO,0530,NULL,NULL,NULL,NULL,160,146,128,861,NULL,NULL,0810,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,409,NULL,ORD,FLL,0530,NULL,NULL,NULL,NULL,188,167,149,1182,NULL,NULL,0938,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,5460,NULL,RDD,SFO,0530,NULL,NULL,NULL,NULL,90,0,0,199,NULL,NULL,0700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,6391,NULL,EUG,DEN,0530,NULL,NULL,NULL,NULL,163,180,143,996,NULL,NULL,0913,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1532,NULL,SFO,DEN,0531,NULL,NULL,NULL,NULL,146,153,127,967,NULL,NULL,0857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1167,NULL,ORD,DEN,0533,NULL,NULL,NULL,NULL,167,163,142,888,NULL,NULL,0720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1012,NULL,IAD,IAH,0535,NULL,NULL,NULL,NULL,207,215,194,1190,NULL,NULL,0802,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,2001,NULL,BUF,JFK,0535,NULL,NULL,NULL,NULL,88,78,56,301,NULL,NULL,0703,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,2807,NULL,PWM,JFK,0535,NULL,NULL,NULL,NULL,85,67,50,273,NULL,NULL,0700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,2023,NULL,JFK,SJU,0535,NULL,NULL,NULL,NULL,225,201,184,1598,NULL,NULL,1020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,4557,NULL,CRP,IAH,0535,NULL,NULL,NULL,NULL,61,52,33,201,NULL,NULL,0636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,5241,NULL,PIA,DTW,0535,NULL,NULL,NULL,NULL,88,75,54,346,NULL,NULL,0803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,5498,NULL,ORD,DTW,0535,NULL,NULL,NULL,NULL,85,67,41,235,NULL,NULL,0800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,6512,NULL,FAT,LAX,0535,NULL,NULL,NULL,NULL,75,80,42,209,NULL,NULL,0650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1577,NULL,SMF,DEN,0538,NULL,NULL,NULL,NULL,142,164,129,909,NULL,NULL,0900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,4986,NULL,AUS,LAX,0538,NULL,NULL,NULL,NULL,212,199,173,1242,NULL,NULL,0710,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,727,NULL,BOS,BWI,0540,NULL,NULL,NULL,NULL,101,84,66,369,NULL,NULL,0721,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,1012,NULL,ORD,BOS,0540,NULL,NULL,NULL,NULL,136,114,95,867,NULL,NULL,0856,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,824,NULL,PHX,DTW,0540,NULL,NULL,NULL,NULL,223,203,178,1671,NULL,NULL,1123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,941,NULL,MCI,ATL,0540,NULL,NULL,NULL,NULL,122,101,84,692,NULL,NULL,0842,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,2079,NULL,BOS,DTW,0540,NULL,NULL,NULL,NULL,143,125,105,632,NULL,NULL,0803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,3268,NULL,ATL,IAD,0540,NULL,NULL,NULL,NULL,105,103,79,534,NULL,NULL,0725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,4160,NULL,JAX,EWR,0540,NULL,NULL,NULL,NULL,137,132,109,820,NULL,NULL,0757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,6285,NULL,MFR,DEN,0540,NULL,NULL,NULL,NULL,161,188,138,964,NULL,NULL,0921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,5184,NULL,SLC,IAH,0540,NULL,NULL,NULL,NULL,193,180,158,1195,NULL,NULL,0953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,6358,NULL,IDA,DEN,0541,NULL,NULL,NULL,NULL,104,113,72,458,NULL,NULL,0725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,F9,161,NULL,MSN,DEN,0544,NULL,NULL,NULL,NULL,145,144,128,826,NULL,NULL,0709,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,OO,4833,NULL,MKE,DTW,0545,NULL,NULL,NULL,NULL,74,55,36,237,NULL,NULL,0759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1119,NULL,GEG,DEN,0545,NULL,NULL,NULL,NULL,139,136,107,836,NULL,NULL,0904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1237,NULL,SEA,IAH,0545,NULL,NULL,NULL,NULL,251,266,238,1874,NULL,NULL,1156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1540,NULL,DCA,IAH,0545,NULL,NULL,NULL,NULL,209,197,182,1208,NULL,NULL,0814,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,1433,NULL,SAT,DFW,0545,NULL,NULL,NULL,NULL,65,59,41,247,NULL,NULL,0650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,2299,NULL,JFK,MIA,0545,NULL,NULL,NULL,NULL,185,199,152,1089,NULL,NULL,0850,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,721,NULL,BOS,PBI,0545,NULL,NULL,NULL,NULL,205,190,170,1197,NULL,NULL,0910,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,917,NULL,BOS,JFK,0545,NULL,NULL,NULL,NULL,77,66,44,187,NULL,NULL,0702,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,B6,939,NULL,JFK,BQN,0545,NULL,NULL,NULL,NULL,221,202,180,1576,NULL,NULL,1026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,1890,NULL,DFW,ATL,0545,NULL,NULL,NULL,NULL,124,104,86,731,NULL,NULL,0849,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,EV,4646,NULL,CHS,EWR,0545,NULL,NULL,NULL,NULL,116,122,91,628,NULL,NULL,0741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
